name,episode,youtube_link,score,transcript,len,reoccuring_guest
Ya Boy Cheech,Min #6 — KT #686,N/A,0.078,"So I've been to so many music festivals, and I'm telling you this. I've done so many whippets, I've gained control of my moustache hairs guys. I am Doctor Zoidberg up in this bitch. Yeah. So anyways, anyways. Shut the fuck up, let me get through my fucking set [at audience]. Anyways... Anyways... Anyways... [pulls annoying and random faces to large crowd boos]. So here's an impersonation for you. So here's Hell's Kitchen if Smeegle was Gordon Ramsey. ""I bought the tasters for you sir, these are the tasters for you sir"" [bad Smeegle voice].",545,Nope
David Jolly,Min #1 — KT #722,https://youtu.be/g6aGhWXXJec&t?t=380,0.733,"Hell yeah, I've been in Texas now for two years. Hell yeah Hell yeah. I've been in Texas now for two years. Hell yeah. Hell yeah. Finally made two years. I like the Mexicans out here. Y'all different than, like, Florida Mexicans. Hell yeah. Only thing I don't like is, as soon as y'all in Abuela get over here, y'all get them a job at Walmart. And I think that's bullshit, because them people rude as hell. I went up to the lady the other day. I was like, hey, uh, Tia, uh... Can you tell me where her antiperspirant deodorant is? And she said, mm, me ain't gonna speak English. Mm, yeah. I was like, this bitch is rude, ain't she? But it's amazing how I go back to my car and I put on my homemade ice shirt. Now everybody speak English. I go back in there and say to that same lady, hey, you know where the deodorant at now? Howdy, partner. Everybody speak English. I go back in there and say to that same lady, hey, you know where the deodorant at now? Howdy, partner. You looking for an antiperspirant deodorant? That's J22, buckaroo. I go down to get the deodorant. I come back, this bitch singing the Star Spangled Banner. I'm like, get the fuck out of here. Thank y'all. That's my time, man.",1197,David Jolly
Mike Holder,Min #3 — KT #735,https://youtu.be/u2_AydCiyiU?t=1410,0.483,"Thank you guys very much. Thank you very much. I'm not sure if you guys know who I am, but I'm on a lot of street signs. It's the signs that say pedestrian crossing. And I'm standing like this. I thought you might recognize me with my clothes on. Maybe not. A couple phrases that piss me off. I heard it when someone starts telling me a story and halfway through they say, anyway, long story short, then they continue to make the story longer. My God, man. What do we call people who wake up at sunrise? Early Birds as if there are late birds? I thought all birds wake up burning. What do you think? There's a bird somewhere. Waking up at 10 o'clock saying, oh, should I miss my flight? Would never fucking happen. Since they lock your phones away, I assume you haven't heard the news earlier today, a group of chickens were protesting the use of hormones. It was a peaceful protest, but some are raising canes. In tragic news, a fatal shooting at a golf resort resulted in a hole in one and three handicaps. It was tragic regarding the Epstein scandal. Honestly, all this time I was never interested in seeing the list. I just wanted to know why is that place still called the Virgin Islands? It's not a secret Virgin left like Grandma Sharp.",1243,Nope
Joe Hansen,Min #4 — KT #750,https://youtu.be/7rrHAhe1TsM?t=1530,0.65,"What's up guys? I was raised really poor, just right off the bat. My parents would always try to hide it from us though. They would. They would always say shit like it's national leftover hamburger Helper Day. It's like it's been national leftover hamburger Helper Day for five nights in a row. Man, whatcha you trying to pull on us? I, I figured it out though. I did figure out we were poor when it came time to put down our family dog. It cost $45 and my dad was just like, nah, I'll shoot it. Right. Like, but I was seven years old man. I took that at face value. I was like, oh I cannot get sick. We, we are not a minute clinic family at all. I'm just like, dad, I have a headache. Goodbye bitch. That's cool though. That's cool. I Austin's fun. I was walking down six and this girl goes, I'm having hot girl tummy issues and then she lifted up her shirt and she just had a colostomy bag. That's not hot girl tummy issues. That's just a bag of shit. Strap to you. Thank you. Hell",983,Nope
Lorenzo Tyree,Min #9 — KT #750,https://youtu.be/7rrHAhe1TsM?t=3741,0.342,"I dunno if you guys could tell I'm nervous. Ah, but I gotta, I gotta let some off my chest. For real. Oh, I don't donate to thrift stores. I'm gonna be honest. It's not that I don't want to, it's that I can't, I'm I'm poor and growing up, you know, I, I grew up in a small town. You think I wanna see my neighbor two fricking streets down rocking my hand-me-downs better than me. Fuck that. Yeah. Growing up poor. I was also raised by my grandma. I'm based at Kur of Cowie, Dominican. No, no cur of Cowie dog fans in here. Fuck you. But growing up poor with my grandma, she would always have me reusing grocery store bags as like tiny trash can bags. You know? You ever do that guys? Yeah. Right. Not bad, but damn. Alright, well we'll leave it there, y'all.",758,Nope
Deepak Sahota,Min #6 — KT #704,https://youtu.be/C5LxxL5XD6A&t?t=3192,0.562,"So the government has been real hush-hush about the drones. Is it aliens, China, or is Biden looking for his son? He just got pardoned and already gone. We all know that animals are evolving. Coyotes have learned how to drive and started a lucrative human trafficking business. As you grow older, it gets difficult to find your inner-child, especially if you had an abortion.",375,Nope
Jarret Zeller,Min #9 — KT #709,https://youtu.be/3tzdqyIPcrM&t?t=5880,0.45399999999999996,"So, I've been thinking a lot about what Kamala Harris would sound like if she was a guy. So, I have an impression of Kamala Harris if she was a guy. Please be a good crowd. Please be a good crowd. Hey, shit man, hey man, you know me, man. Hey man, hey man, so you know I was walking to the store, man, just giving me some Valentine's Day gifts from my boo thing, Dougie Doug, man. You know Doug, man, you know my boo, man. And shit man, not all the fuck, man, shit. No, but like, I'm looking for some flowers and shit, man, some chocolate, and then I pull up to the dude, right, with my chocolates and my flowers and shit, man, you know, smelling all good and shit, man. And I pull up to the dude, right, and the dude, and he was like, all right, bet that'll be $50. I was like, $50? Hey, yo, what the fuck? Here's an impression of the voice in my head when my jokes don't land the way I want them to. Now, now, I am funny. Thank you.",934,Nope
Tyler Langlois,Min #9 — KT #711,https://youtu.be/z-21SI0mtv4?t=6180,0.588,"Hey, everybody. How's it going? You guys all seem very cool. You seem very nice. I was not cool growing up. And actually, in elementary school and middle school, my classmate, Tyler Langlois, was a very nice guy. He was a very nice guy. He was a very nice guy. He was a seem very nice. I was not cool growing up. And actually in elementary school and middle school, my classmates used to make fun of me and say that I gave off serial killer vibes. But now that I've watched every serial killer documentary on Netflix, I realized that those were compliments. Yeah, most of those guys are pretty damn charming. It's like, oh, you think I look like the kind of guy who can trick a woman into getting in my car? Thank you. I don't know why so many girls like serial killers. Like, I feel like I know so many why so many girls like serial killers. Like I feel like I know so many girls who are obsessed with serial killers. Like Ted Bundy murdered women and then had sex with their bodies and they saw his picture in the newspaper and they were like, I can fix him.",1060,Nope
Ari Matti,Min #12 — KT#702,https://youtu.be/naUsB1EQS9U&t?t=7108,0.826,"I am so fucking tired of being poor. I'm about to snap. When is it my time? Even if you make a million dollars now. Remember when you were a kid, you thought million dollars, that's a fucking summer house in Italy, downtown apartment in Austin, now a million dollars one bedroom in Pflugerville. Now I feel bad for millionaires I'm like fuck Chick-fil-A is hiring I don't know. When you look at rich people don't you sometimes feel like you missed a year in school? Like where they talked, where the bag is at, you know? Because my school was like, Alphabet, Hitler, and then they were like, okay, now go pay taxes. What the fuck was algebra? Teach me how to run a scam, you bitch. Remember when we spent three years on a triangle? I'm 32 years old, never even seen one. Teach me about offshore accounts. Fuck. And when you meet rich people, I always ask, I always ask, how? And they never say, oh, it's some real vague. You know, rich people love to say like, oh, the right place at the right time. I've been everywhere always. Let me in, rich people, come on, let me in the circle. Let's go, I get it. Let's fucking privatize water in Sierra Leone. Let's go! I'm cool! Take me to Epstein Island. Let's go! I'll fuck the kids. And keep my mouth shut. The only people who do give you financial advice are dudes who are into crypto, huh? How come every guy who tells you about crypto is also on the bus. It's always your friend Tyler with like bong breath. Dude, Bitcoin's coming back. You want to be like Tyler, the fact that this information has trickled down to you? Means we're already too late.",1598,Ari Matti
Uncle Lazer,Min #1 — KT #744,https://youtu.be/MaXtfCpexqM&t?t=568,0.541,"Hey, my parents are divorced, if you couldn't tell. And if your parents are divorced, I really don't fucking trust you, to be honest. If you ain't never been dropped off in a Walmart parking lot on Christmas Eve, in the back, right? Like a hostage negotiation? Or your mama got a flick to light at your daddy's car because they don't want to see each other in person just to go to your second Christmas? You don't know trauma. If you ain't ever seen your daddy pull your mama out of bar for drinking too much, you get in a domestic dispute, put the clothes on the ground. You got to lie to the cops about who started the fight. You don't know loyalty. Listen, my mom and daddy split when I was nine, all right? My daddy is a straight-laced, God-fearing Christian. He goes to work tired. He comes home sore. Well, mama, well, she's retarded. You see, my mom fucked all of Metallica in the 80s. She's built for tough, you know, talk about? She actually had a landing strip when she gave birth to me. That's why I got this haircut. And I remember the first day they split. I remember when it happened. We was driving on I-10. My mama got us lost. My daddy's arguing with her. My mom ain't much to argue. She just wants to punch real quick, right? And I got so scared that I swallowed a bunch of fucking lifesavers, and I started choking to maybe bring them together as a team, you know, to maybe salvage their marriage. They divorced three weeks later. My name's Uncle Laser. Y'all been great.",1490,Uncle Lazer
Eoghan Gallivan,Min #9 — KT #746,https://youtu.be/a9Le0VGXZDU?t=5776,0.535,"I'm, I'm a first generation American. You guys, both of my parents are from Ireland, but my grandma, she's from like a small island off the west coast of Ireland with like 40 people on. It didn't really dawn on me till I visited there last summer. That, that just makes me inbred as fuck you guys, who are they having sex with? No. I should be way uglier and way dumber than I am. I can never complain about being short again. It's a miracle that I can do math. So guys, there was one pub and two last names on that island. My family tree is just a wreath. I don't even have ancestors, I just have ancestors. Since I've come to this realization though, I have been blaming a lot of my flaws on being inbred. That's been fun. People tell me I talk too loud. I'm like, dude, you're lucky I'm not screaming. Wheels on the bus right now. That's my time. Thank you",859,Nope
Luke Stamm,Min #11 — KT #704,https://youtu.be/C5LxxL5XD6A&t?t=6656,0.754,"I'm tired of pretending that I have to care about homeless people. Cause I fucking hate homeless people. They always come up to you asking you for something they don't need like a dollar. It's like, bitch, you don't even have legs. What are you gonna go spend it on? You know, they never come up to you asking you for something they do need like a piggyback ride to the nearest bridge. That way you can toss them off into the river. That's a win-win, because if they die, they get to move into the house of God. And if they live, they've been stinking up the corner for a week anyway. They can start fresh and clean 20 miles the fuck away from me. Now, I understand there's a lot of veterans that are homeless, and I want to have a soft spot for them but it's hard for me to, because we taught them how to make money. It's like as soon as they became homeless they forgot how to point a gun in someone's face. Why are you asking me for a dollar? Come and take it bitch.",969,Nope
Brian Holtzman,Min #16 — KT #706,https://youtu.be/UhsoW7UIRUA&t?t=9722,0.465,"I just cut Daisy down, she was trying to hang herself backstage. Somebody go check on that bitch. Ain't it great when women try to do men's shit? Fuck raising a family, you know, being a member of the community. Stay in your lane, bitch! Learn how to cook! I'm not too happy with the panel. Trump is going to get this Australian. He's the first fucking immigrant that's gonna get the fuck out of the country. Oh, did I hurt some of your feelings? Fuck Bob Dylan. Playing all that silly love songs. I was in a toxic relationship. How long? 18 months? Why did it take you so long to figure out you were in a toxic relationship? Wasn't when he had his hands wrapped around your fucking throat. Guys know how to get rid of guys quick. We know when guys are dangerous. We get away from them real quick. What's wrong with you bitches? You can't sense danger? What was it? When he pushed you out of that slow moving fucking car near the lake? When he spilled his beer in your face in front of your parents? Kill yourself! Kill yourself! Happy New Year! It's a brand new year! Tell all your friends, tell all your people you know, start with the feelings! We don't give a fuck about your feelings! I hope everybody got what they wanted for Christmas. And Kwanzaa and Hanukkah and ISIS. You want to decorate the tree or cut somebody's fucking head off? Yeah, some are laughing, some can't, because you're fucked. I didn't do too well. I got those gift cards again. Give me the fucking cash. Give me the cash. What happens if I want to buy a cock ring? Am I going to find out a target? Give me that fucking cash! Here's a gift card. Why don't you just shit in my hand? Shit in my hand! Shit in my hand! Give me the cash! What happens if I want to buy a fucking asshole extender? You know? Could you see me a target trying to get an asshole extender? Well, it looks like a reversed egg beater and it has keys on it and you crank it and it makes your asshole larger. Do you have it? Oh, who's not laughing at that, stupid ass? I got New Year's resolutions too. I'm not lifting up the fucking toilet seat when I piss. I got a prostate problem, I'm not going up and down with the fucking toilet seat. Bitch, turn around and see where that seat is. And if there's piss on it, be a girl and wipe the fucking urine off. If I hear it, if I hear you need to lift the seat once more I'm gonna rip the fucking seats out of the whole house. I told my mother I'm taking the fucking toilet seats out of the house. It's gonna be like the Philippines, no toilet seats. My New Year's resolution, I'm not putting my shopping cart away. Fuck you! You should be happy I'm shopping at this fucking store. So all you people care about is putting shopping carts away. Fuck yourself! I'll put it away. I put it right in the intersection of the parking lot and wait for the woman to just drive up and say and sit there. They want to send women to the moon. What are they going to do? Get up there and complain? It's too cold, it's too hot. Where are they going to find women to go to the moon? They're all busy playing fucking soccer. It's a brand new year. It's a brand new start, a clean slate, just be happy and not have any feelings. We don't give a fuck about your feelings. Feelings go up and down, feelings, you know, feelings are like a fart. Once you fart, you don't miss that fart. Well, maybe I didn't explain that quite right. I don't know. I'm not used to playing a whole fucking town. But it's a brand new year. I'm optimistic about it. I'm very optimistic about it. I'm even more optimistic about remembering what I was going to say up here. Hey, shut your motherfucking mouth! Throw them out! Throw that motherfucker out! Kill Tony? Kill him! Kill him! You probably voted for that fucking Harris bitch! I hope Trump, Trump, Trump when he gets in office he's gonna kill everybody in the country. You know, what was his name, Grave Digger? What was? The big guy. Yeah, yeah, I fucked him. Thank you ladies and gentlemen.",3999,Nope
Mohamed Yaul,Min #6 — KT #746,https://youtu.be/a9Le0VGXZDU?t=3782,0.7120000000000001,"Lord and Savior Joe Rogan. You got in trouble for saying I don't have a problem with people who can afford to go to space. I don't have a problem with 'em saying, if you can exit the Earth's atmosphere, you can say if you can exit the troposphere stratosphere, Mesosphere, thermosphere, exosphere, ionosphere. You can say,   you are in a niggas fear. Nobody cares. I've been kissing, sleeping, homeless people on the forehead. It's my way of giving back guys. Next time, next time you see a sleeping, oh can I, can I go ahead. I wanna know how this sounds. Next time you see a sleeping, homeless person tuck 'em in.",615,Nope
Rob Edwards,Min #10 — KT #703,https://youtu.be/bAi-maD5Y48?t=6624,0.66,"How y'all doing? You good? That's what's up. I hate going home for the holidays. Mostly because every time I go back they ask me the same shit. It's Rob, when you gonna bring us some  randbabies? Which I never know what to say to that. Cause I don't know how to put a time table on an accident. You feel me? Cause I'm not gonna do it on purpose so they're basically asking me, Rob, when you gonna get into a car crash? Like it's not on the vision board at the moment. I don't know what to say to these people. You feel me? Like what's the math on that? How would I explain it? The math, like what's the math on that? Probability? What is the probability that I knock a chick up in a red state and can't sneak her into a blue state? What is it?
It's not very good. I'll figure it out. We'll find a way. Now, every time I talk about the Roe V. Wade shit, they're like, Rob, you live in California. You don't gotta worry about that. And I'm like, nah, see, that's how you build bad habits. I'm not really with that shit. I might live in California, but I fuck like I live in Mississippi. You know what I'm saying? I take it very seriously. I have a Confederate flag in my bedroom just to remind myself of the situation I could be in. I gotta pull out, you know what I'm saying? And when I'm about to come and say, the South shall rise again, and then I pull out and nobody gets pregnant.",1384,Nope
Peter Angelo,Min #1 — KT #705,https://youtu.be/N4m54Rh25VU&t?t=662,0.7490000000000001,"What's going on, guys? What's going on? Uh, who here likes rough sex? Who here likes rough sex with men? Just me? All right, cool. Yeah, I fuck a lot of dudes. It's weird - I get it. Um, I look like this. But, like, I do. I enjoy rough sex. But the problem is, I date guys who are, like, way smaller than me. And people think I date... I do that to throw them around like it's Cirque du Soleil. But that's not the case. I want them to be the dominant one. Let them be in charge. But like, for rough sex to be hot, there's gotta be that element of danger. I don't feel like I'm in danger. The average weight of the guys I sleep with is 150 pounds. I weigh 320. They can't even get their hands around my neck. For me to feel like they were in charge, I had to give them a weapon. And I'm not sucking dick at gunpoint. Again. It's a great family reunion. Um... You'd think the natural solution is I be the dominant one. You know, I be in charge. But, like, I'm afraid, because I'm so much bigger, I'm gonna kill them, and now I'm afraid because I'm so much bigger, I'm gonna kill them and now I'm like gay Lenny from Of Mice and Men. Like, I didn't mean to kill the twink boy George, I just wanted to pet his butt.",1211,Nope
Ram B,Min #14 — KT #731,https://youtu.be/3jAPUKKW5pE?t=6100,0.466,"Hello. Hello. So last time I was here I was thinking about bags and boxes. Yeah. And I actually worked for a moving company. I was telling Tony that. And you know, one time I was moving this dude and I thought he had Down syndrome. So I'm looking at him weird. He looking at me weird. I'm like, man, I don't know, you know, so I'm trying to be off extra soft. And then he said like, yo, I, I went to a SU and I grew up in Phoenix. So I'm like, oh, where? Yeah, I did shrooms and I smoked weed and drank and shit. And I'm like, wait a minute. They let people with Down syndrome, syndrome do that shit. You know, that's not normal. And then at the end of the job, he gave us like 60 bucks. So I knew we didn't have downs. 'cause I, I was like, otherwise he would've gave us like Cheez-Its, or maybe some jelly beans, like a single marshmallow. But you gotta take it. You can't, it's gonna stick to your fingers, but you gotta take it.",932,Nope
Kim Congdon,Min #9 — KT #691,N/A,0.7879999999999999,"What's up Austin? Hell yeah. My names Kim Congdon and I'm one of the first Kill Tony regulars, and I am a Puerto Rican comedian. These are my white slaves. And I really wanted to take this option tonight to do something that every Puerto Rican wants to do right now [pulls out knife and goes for Tony]. I'm just kidding, I watched the Trump rally dude, I watched Tony's speech. I was a little bit upset, I gotta tell you. Half my blood is Puerto Rican, it's true. Unlike Tony's blood, half of that is HIV, it's true. As you see my white slaves are holding Puerto Rican flags, those are Puerto Rican flags people, they look different, they do. They have one star just like Tony's first Netflix special. Tony, you call Puerto Rican an island full of piles of hot trash, which is very close to what you like - island full of piles of hot boys you fucked. And I'm here to stand up for my people tonight because I'm gonna say Puerto Ricans are American as fuck, we're just like y'all. We have a lot of American contributions and trades, we love our culture, we love our music, we work in Aerospace, we don't want white people on our island, we're racist like you guys. And this is the last thing I'll say, Tony I think it's fucking insane that you don't like Puerto Rico, it's a beautiful place and the only dirty parts have been taken over by white billionaires. It's literally you idiot.",1384,Nope
Jordan Pablo,Min #8 — KT #716,https://youtu.be/6v8D8Bg-z3U?t=4368,0.659,"Hello guys. I couldn't tell my ex-girlfriend what I was into in the bedroom 'cause then none of her friends would wear open toe shoes around me. I, I've been in the, in the closet for a long time about my foot fetish 'cause I was smelling all the shoes. Yeah. I don't know what you guys are trying to do when you meet the right lady. I'm just trying to get off on the right foot. I don't know. Even when I get with a girl, I don't even know what to fucking do. I was with this girl the other day. She's like, choke me, choke me. I'm like, is it that bad? She's like, no, I've been bad. I was like, no, you were great. Thank you guys.",633,Nope
Ric Diez,Min #17 — KT #725,https://youtu.be/KSGu1gbKP2Q?t=7420,0.599,"I'm so happy to be doing this. I have such a great track record battling other comedians on this show. It's, anyway, anybody else depressed or what? Woo. Yeah, I woke up this morning. I didn't mean to, yeah, I don't suffer from sleep apnea. I suffer from awake breathing. Yeah. When I was a kid, I broke a window at home and my parents were like, Rick, just stop trying to get in. I was talking to my therapist and I was like, you are not taking any notes. And he was like, I am trying to forget this. I a girl told me you can do whatever you want to me. Yeah. So I disappointed her. She was like, is that a gun in your pocket or it's a gun? Thank you guys very much. You've been great.",686,Nope
Ari Matti,Min #6 — KT: OUTT,https://youtu.be/XaR_muN2LDU&t?t=3596,0.882,"Do you guys know what a BBL is? Brazilian butt lift. I don't really want a girl with a BBL because the last thing I need is distance. Girl, you get a BBL, your pussy is in no danger. My dick is gonna be in the hallway, fucken... I might have a small dick, but you know what else I have? Great breakfast. That what matters when you're dating women in their 30s. The overall package. Wake up at my place, you get a goat-cheese omelette - tomatoes in the omelet. Not too hot, just squishy enough. When that omelet hits your mouth, you'll forget about the dick. Small dick men have nice apartments. Dude I have a fucken USB-C port in my couch. Candles and functuay. You ever go over to a big dick motherfucker's apartment? The bed frame is missing. There's a creepy roommate. Ice cube's taste like vegetables. The TV remote, the batteries are in but the back is missing. A big dick motherfucker will fuck you for 15 minutes, and then it's 23 hours of nothing. I'll fuck you for about 4 minutes, then we have a full day of activities. We go hiking, we play monopoly, I tell you about my dead mother. Russia and Ukraine conflict - I explain it. You're learning bitch. I have a helix sleep mattress. Body-temperature-regulating. Sure big dicks are great, you know what's better. REM sleep. You wake up at my place fresh, pussy no damage. You leave my place, there's no walk of shame. There's a stroll of employment. You go nail that interview baby. Small dick men are the hardest working people on this planet. Every guy who has a good ticket tonight has a tiny cock. I know a lot of comedians with huge hogs. None of them are here. Who's the biggest economic force in the world? China... Only a tiny dick motherfucker will work for Temu, make you a Shrek mask for 90 cents. Have you ever been to China, they are the future. AI is building roads. Their fucking alphabet, one symbol means 700 different things. Have you ever been to Africa... They don't even have asphalt. They got no WIFI, tiny huts, big dicks. You don't need ChatGPT when you've got a BBC.",2050,Ari Matti
Luke Aaron,Min #2 — KT #748,https://youtu.be/Bd6M_-Ky1HI?t=933,0.504,"I think that people need to stop making fun of Lizzo. I mean, she's one of the most popular artists of our generation. And I just heard that she's starring in a new anime show. I'm not sure if y'all have heard of it. It's Avatar, the last chair Bender. I think it's funny that people use the same word of the thing that turns them on also as an insult. Like a girl will be like, I need some dick right now. And then she'll also be like, that guy's being such a dick. But then guys will do it too. They'll be like, you know, I can't wait to get some pussy tonight. And then they'll be like, bro, why are you being such a pussy? But I mean, I'd be lying if I said that. I don't also do that because I say to my friend, come on man, why are you being such a retard? You know? I'm sorry if that joke offends you. I'm just looking for my special someone. Thank you. That's all I got.",878,Nope
